node_id,node_type
0,depot
1,physical
2,physical_customer
3,physical
4,physical_customer
5,physical
6,physical
7,physical_customer
8,physical
9,physical
10,physical_customer
11,physical
12,physical_customer
13,physical_customer
14,physical
15,physical_customer
16,physical
17,physical_customer
18,physical
19,physical
20,physical
21,physical_customer
22,physical
23,physical
24,physical_customer
25,depot
26,dummy_customer
27,dummy_customer
28,dummy_customer
29,dummy_customer
30,dummy_customer
31,dummy_customer
32,dummy_customer
33,dummy_customer
34,dummy_customer
35,dummy_customer
