node_id,node_type
0,depot
1,physical
2,physical
3,physical_customer
4,physical
5,physical_customer
6,physical
7,physical_customer
8,physical
9,physical
10,physical
11,physical
12,physical_customer
13,physical
14,physical
15,physical
16,physical
17,physical
18,physical_customer
19,physical
20,physical
21,physical
22,physical_customer
23,physical
24,physical
25,depot
26,dummy_customer
27,dummy_customer
28,dummy_customer
29,dummy_customer
30,dummy_customer
31,dummy_customer
