node_id,node_type
0,depot
1,physical
2,physical
3,physical
4,physical_customer
5,physical
6,physical
7,physical_customer
8,physical
9,physical_customer
10,physical_customer
11,physical
12,physical
13,physical
14,physical
15,physical_customer
16,physical
17,physical
18,physical_customer
19,physical
20,physical
21,physical_customer
22,physical
23,physical
24,physical
25,depot
26,dummy_customer
27,dummy_customer
28,dummy_customer
29,dummy_customer
30,dummy_customer
31,dummy_customer
32,dummy_customer
