node_id,node_type
0,depot
1,physical_customer
2,physical
3,physical_customer
4,physical
5,physical
6,physical_customer
7,physical
8,physical_customer
9,physical
10,physical
11,physical_customer
12,physical
13,physical
14,physical_customer
15,physical
16,physical_customer
17,physical
18,physical
19,physical_customer
20,physical_customer
21,physical
22,physical
23,physical_customer
24,physical
25,depot
26,dummy_customer
27,dummy_customer
28,dummy_customer
29,dummy_customer
30,dummy_customer
31,dummy_customer
32,dummy_customer
33,dummy_customer
34,dummy_customer
35,dummy_customer
